x0,x1,x2,x3,y,x4,x5
0.39,A0,A0,A0,539,4.68,4.71
0.52,A0,A1,A1,1701,5.17,5.21
0.31,A1,A2,A2,924,4.38,4.42
0.31,A1,A3,A0,507,4.29,4.31
1.04,A1,A4,A3,6141,6.54,6.56
0.75,A2,A3,A4,2453,5.74,5.8
0.37,A3,A5,A1,666,4.61,
1.51,A3,A0,A1,7553,7.53,
0.42,A2,A5,A5,867,4.88,
1.01,A2,A1,A0,5271,6.4,6.45
0.58,A3,A2,A4,1307,5.4,5.36
0.4,A2,A2,A3,783,4.68,
1.01,A1,A6,A2,10476,6.38,
0.53,A0,A4,A0,1226,5.18,5.21
0.9,A3,A4,A1,4082,6.17,6.12
0.31,A1,A1,A0,732,4.32,4.3
1.23,A0,A0,A1,4986,6.87,6.81
0.4,A0,A6,A0,694,4.76,4.79
0.41,A0,A1,A3,1018,4.77,4.81
0.7,A1,A3,A0,2838,5.53,5.49
1.16,A3,A6,A4,4476,6.71,6.66
0.9,A4,A2,A4,3104,5.94,6.03
-6.176034631464713,A0,A1,A1,1031,4.8,4.82
0.34,A3,A3,A1,956,4.45,4.43
1.45,A1,A6,,11667,7.12,
0.3,A0,A4,A6,776,4.35,4.33
0.33,A1,A2,A3,666,4.36,4.42
1.5,A2,A5,A3,8910,7.19,7.24
0.43,A3,A1,A1,1056,4.88,
0.9,A2,A2,A4,3246,6.12,
,A3,A0,A0,4475,7.11,7.06
0.75,A1,A6,A6,3551,5.85,
2.5,A4,A0,A4,14652,8.36,
2.01,A1,A0,A1,13596,7.97,
1.0,A1,A4,A1,5883,6.23,6.29
1.72,A2,A6,A0,13499,7.57,7.62
1.6,A3,A6,,12343,7.62,7.53
0.41,A3,A2,A1,1061,4.84,
0.42,A1,A6,A0,926,4.8,4.76
1.51,A1,A6,A4,8462,7.2,
0.91,A1,A1,A0,4303,6.12,
1.21,A0,A2,A1,7806,6.87,
0.6,A0,A1,A5,4172,5.4,
1.51,A3,A5,A0,9344,7.31,7.27
0.25,A0,A4,A2,525,4.05,4.08
2.11,A1,A5,A0,14740,8.17,
1.01,A1,A6,A1,6787,6.4,
1.0,A1,A5,A0,3640,6.39,6.34
1.25,A3,A5,A0,5250,6.89,6.81
0.39,A1,A4,A3,787,4.65,
0.34,A0,A6,A6,784,4.49,4.52
0.7,A0,A2,A5,3763,5.69,
0.9,A0,A1,A4,4167,6.26,6.24
0.5,A1,A6,A5,2122,5.14,
1.5,A4,A2,A4,7972,7.16,7.13
0.52,A0,A1,A0,1720,5.18,
0.52,A1,A4,A1,1289,5.08,5.12
2.01,A3,A4,A0,17347,8.13,8.06
0.53,A3,A4,A1,1428,5.31,
0.52,A3,A2,A0,1092,5.28,
